Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Sabtu,8,10,386,126,5,1,518,1
Sabtu,8,20,515,140,9,2,666,1
Sabtu,8,30,503,132,8,3,646,1
Sabtu,8,40,541,163,11,5,720,1
Sabtu,8,50,474,168,8,5,655,2
Sabtu,8,60,518,167,8,2,695,2
Sabtu,15,10,614,274,7,3,898,0
Sabtu,15,20,569,166,11,3,749,0
Sabtu,15,30,706,186,8,1,901,0
Sabtu,15,40,808,279,8,4,1099,0
Sabtu,15,50,708,285,4,1,998,0
Sabtu,15,60,790,275,5,2,1072,0
Sabtu,16,10,924,295,5,4,1228,0
Sabtu,16,20,789,248,6,4,1047,0
Sabtu,16,30,782,255,4,1,1042,0
Sabtu,16,50,770,237,5,3,1015,0
Sabtu,16,60,710,264,3,1,978,0
Sabtu,17,10,583,227,9,1,820,3
Sabtu,17,20,600,236,3,6,845,7
Sabtu,17,30,535,238,6,3,782,6
Sabtu,17,40,394,209,4,1,608,4
Sabtu,17,50,181,220,2,1,404,6
Sabtu,17,60,38,117,2,0,157,3
Sabtu,18,10,29,94,0,0,123,2
Sabtu,18,20,20,70,1,0,91,3
Sabtu,18,30,17,71,1,0,89,1
Sabtu,18,40,19,72,0,0,91,1
Sabtu,18,50,45,95,0,0,140,4
Sabtu,18,60,36,100,1,0,137,5
Sabtu,19,10,13,61,1,0,75,4
Sabtu,19,20,21,111,1,0,133,4
Sabtu,19,30,24,113,1,0,138,8
Sabtu,19,40,30,95,0,0,125,6
Sabtu,19,50,40,137,2,0,179,8
Sabtu,19,60,36,126,0,0,162,9
Minggu,6,10,333,85,11,1,430,0
Minggu,6,20,349,83,9,1,442,0
Minggu,6,30,399,71,5,2,477,0
Minggu,6,40,384,98,5,3,490,0
Minggu,6,50,311,75,4,2,392,0
Minggu,6,60,384,97,9,1,491,0
Minggu,7,10,337,80,5,1,423,0
Minggu,7,20,328,100,6,1,435,0
Minggu,7,30,394,96,11,0,501,0
Minggu,7,40,432,104,8,0,544,1
Minggu,7,50,437,112,10,1,560,0
Minggu,7,60,459,109,11,0,579,0
Minggu,8,10,469,123,10,4,606,1
Minggu,8,20,561,134,9,2,706,0
Minggu,8,30,560,146,12,3,721,1
Minggu,8,40,630,136,6,4,776,1
Minggu,8,50,577,150,12,2,741,3
Minggu,8,60,527,172,4,5,708,1
Minggu,15,10,292,209,4,1,506,3
Minggu,15,20,271,216,11,3,501,3
Minggu,15,30,344,254,5,2,605,4
Minggu,15,40,156,132,1,2,291,2
Minggu,15,50,230,224,4,1,459,5
Minggu,15,60,175,208,8,3,394,3
Minggu,16,10,19,122,2,0,143,5
Minggu,16,20,0,69,1,0,70,4
Minggu,16,30,16,86,3,0,105,3
Minggu,16,40,26,173,2,0,201,7
Minggu,16,50,17,188,1,0,206,4
Minggu,16,60,27,207,4,0,238,5
Minggu,17,10,13,184,3,0,200,5
Minggu,17,20,6,156,4,0,166,2
Minggu,17,30,7,153,3,0,163,3
Minggu,17,40,7,153,1,1,162,4
Minggu,17,50,12,109,1,0,122,2
Minggu,17,60,16,90,4,0,110,3
Minggu,18,10,15,97,1,0,113,4
Minggu,18,20,16,78,1,0,95,3
Minggu,18,30,15,103,1,0,119,1
Minggu,18,40,29,125,4,0,158,4
Minggu,18,50,35,100,1,0,136,5
Minggu,18,60,39,110,0,0,149,3
Minggu,19,10,31,131,0,0,162,4
Minggu,19,20,48,121,2,0,171,5
Minggu,19,30,25,160,3,0,188,7
Minggu,19,40,42,133,1,0,176,4
Minggu,19,50,47,183,2,0,232,6
Minggu,19,60,34,136,1,0,171,5
Senin,6,10,455,88,8,4,555,0
Senin,6,20,424,98,4,0,526,0
Senin,6,30,459,89,5,2,555,0
Senin,6,40,474,110,4,3,591,0
Senin,6,50,455,129,3,0,587,0
Senin,6,60,454,118,6,0,578,0
Senin,7,10,495,111,7,0,613,1
Senin,7,20,452,148,8,1,609,2
Senin,7,30,325,150,8,3,486,3
Senin,7,40,320,146,9,1,476,2
Senin,7,50,451,159,8,2,620,3
Senin,7,60,450,158,10,3,621,3
Senin,8,10,508,144,5,3,660,0
Senin,8,20,505,150,6,0,661,1
Senin,8,30,567,193,6,4,770,3
Senin,8,40,568,169,6,3,746,2
Senin,8,50,493,188,8,5,694,2
Senin,8,60,575,210,7,4,796,2
Senin,15,10,579,257,13,5,854,0
Senin,15,20,712,316,18,7,1053,0
Senin,15,30,643,312,15,10,980,0
Senin,15,40,684,249,8,4,945,0
Senin,15,50,632,260,8,2,902,0
Senin,15,60,613,284,11,8,916,0
Senin,16,10,575,272,8,7,862,0
Senin,16,20,753,256,3,2,1014,0
Senin,16,30,253,166,4,2,425,0
Senin,16,40,83,237,1,1,322,0
Senin,16,50,34,76,0,1,111,0
Senin,16,60,9,103,1,0,113,0
Senin,17,10,81,250,2,1,334,4
Senin,17,20,30,197,4,0,231,6
Senin,17,30,30,207,0,2,239,8
Senin,17,40,10,114,0,0,124,4
Senin,17,50,6,165,4,0,175,7
Senin,17,60,9,103,1,0,113,8
Senin,18,10,16,122,1,0,139,6
Senin,18,20,13,95,0,0,108,2
Senin,18,30,24,103,0,1,128,2
Senin,18,40,22,110,0,0,132,2
Senin,18,50,26,113,0,0,139,4
Senin,18,60,33,119,1,0,153,3
Senin,19,10,21,105,1,0,127,5
Senin,19,20,10,69,1,0,80,5
Senin,19,30,8,85,0,0,93,6
Senin,19,40,21,108,0,0,129,5
Senin,19,50,29,137,3,0,169,5
Senin,19,60,27,133,1,0,161,4
Selasa,6,10,241,67,5,1,314,0
Selasa,6,20,345,108,6,1,460,0
Selasa,6,30,330,85,3,1,419,0
Selasa,6,40,376,116,5,1,498,0
Selasa,6,50,392,116,6,3,517,0
Selasa,6,60,480,112,3,1,596,1
Selasa,7,10,439,107,6,0,552,1
Selasa,7,30,517,127,8,1,653,1
Selasa,7,40,368,125,12,0,505,2
Selasa,7,50,466,155,4,4,629,2
Selasa,7,60,437,144,11,0,592,2
Selasa,8,10,445,186,3,6,640,2
Selasa,8,20,489,141,8,2,640,1
Selasa,8,30,527,154,6,1,688,1
Selasa,8,40,554,172,8,4,738,2
Selasa,8,50,511,177,11,3,702,2
Selasa,8,60,599,183,7,1,790,3
Selasa,15,10,478,298,10,20,806,0
Selasa,15,20,489,263,12,17,781,0
Selasa,15,30,501,261,6,4,772,0
Selasa,15,40,387,259,6,2,654,0
Selasa,15,50,35,226,6,2,269,0
Selasa,15,60,13,140,3,1,157,0
Selasa,16,10,18,150,1,1,170,0
Selasa,16,20,32,227,3,1,263,0
Selasa,16,30,138,218,8,3,367,0
Selasa,16,40,402,270,2,5,679,0
Selasa,16,50,305,238,2,3,548,0
Selasa,16,60,166,228,5,0,399,0
Selasa,17,10,144,234,8,2,388,2
Selasa,17,20,41,209,5,0,255,5
Selasa,17,30,26,205,4,2,237,6
Selasa,17,40,21,177,2,0,200,7
Selasa,17,50,22,174,0,0,196,5
Selasa,17,60,15,102,0,0,117,5
Selasa,18,10,17,101,0,0,118,3
Selasa,18,20,10,83,1,0,94,1
Selasa,18,30,25,102,1,0,128,1
Selasa,18,40,28,102,0,0,130,3
Selasa,18,50,25,98,1,0,124,2
Selasa,18,60,32,102,2,0,136,0
Selasa,19,10,41,107,0,0,148,4
Selasa,19,20,37,149,1,0,187,10
Selasa,19,30,47,123,0,0,170,8
Selasa,19,40,56,110,1,0,167,3
Selasa,19,50,68,131,0,0,199,7
Selasa,19,60,64,141,0,0,205,5
Rabu,6,10,311,70,6,3,390,0
Rabu,6,20,342,75,2,3,422,0
Rabu,6,30,362,100,2,1,465,0
Rabu,6,40,366,90,8,3,467,0
Rabu,6,50,337,102,6,1,446,0
Rabu,6,60,287,101,1,1,390,0
Rabu,7,10,290,100,6,1,397,0
Rabu,7,20,216,115,7,1,339,0
Rabu,7,30,353,95,7,1,456,1
Rabu,7,40,302,108,9,2,421,0
Rabu,7,50,359,118,3,1,481,2
Rabu,7,60,324,124,4,2,454,0
Rabu,8,10,364,103,9,4,480,1
Rabu,8,20,370,145,8,1,524,2
Rabu,8,30,399,138,10,1,548,1
Rabu,8,40,417,133,6,0,556,1
Rabu,8,50,408,119,6,3,536,0
Rabu,8,60,424,172,8,7,611,3
Rabu,15,10,385,184,7,3,579,0
Rabu,15,20,338,267,16,5,626,0
Rabu,15,30,231,237,10,6,484,0
Rabu,15,40,147,268,12,2,429,0
Rabu,15,50,139,221,2,1,363,0
Rabu,15,60,311,247,7,7,572,0
Rabu,16,10,435,265,6,2,708,0
Rabu,16,20,387,243,5,1,636,0
Rabu,16,30,489,213,7,7,716,0
Rabu,16,40,503,243,2,5,753,0
Rabu,16,50,456,271,5,2,734,1
Rabu,16,60,412,231,1,3,647,0
Rabu,17,10,393,209,3,4,609,0
Rabu,17,20,240,230,7,0,477,6
Rabu,17,30,282,252,7,1,542,5
Rabu,17,40,118,173,2,0,293,4
Rabu,17,50,69,183,0,0,252,4
Rabu,17,60,34,112,0,0,146,3
Rabu,18,10,26,105,1,0,132,1
Rabu,18,20,33,89,2,0,124,4
Rabu,18,30,29,87,1,0,117,3
Rabu,18,40,24,95,1,0,120,4
Rabu,18,50,12,75,1,0,88,6
Rabu,18,60,11,86,4,0,101,4
Rabu,19,10,13,93,0,0,106,5
Rabu,19,20,12,107,0,0,119,7
Rabu,19,30,21,94,1,0,116,6
Rabu,19,40,22,106,1,0,129,3
Rabu,19,50,28,85,0,0,113,5
Rabu,19,60,26,121,1,0,148,7
Kamis,6,10,306,85,6,3,400,0
Kamis,6,20,323,56,5,1,385,0
Kamis,6,30,367,65,2,2,436,0
Kamis,6,40,352,55,7,2,416,0
Kamis,6,50,335,65,8,1,409,0
Kamis,6,60,304,69,1,1,375,0
Kamis,7,10,318,52,8,1,379,0
Kamis,7,20,323,49,4,1,377,0
Kamis,7,30,411,72,3,0,486,0
Kamis,7,40,297,60,2,2,361,0
Kamis,7,50,309,89,8,1,407,0
Kamis,7,60,345,71,8,2,426,0
Kamis,8,10,322,79,7,2,410,0
Kamis,8,20,314,94,6,1,415,0
Kamis,8,30,400,108,9,3,520,0
Kamis,8,40,389,106,9,3,507,1
Kamis,8,50,417,104,5,4,530,0
Kamis,8,60,440,108,7,4,559,0
Kamis,15,10,435,197,8,3,643,0
Kamis,15,20,524,212,15,1,752,0
Kamis,15,30,507,204,6,2,719,0
Kamis,15,40,502,180,9,2,693,0
Kamis,15,50,572,203,13,3,791,0
Kamis,15,60,546,198,6,2,752,0
Kamis,16,10,553,169,4,1,727,0
Kamis,16,20,600,217,9,3,829,0
Kamis,16,30,589,201,3,4,797,0
Kamis,16,40,470,228,10,2,710,0
Kamis,16,50,444,179,6,2,631,0
Kamis,16,60,498,228,5,2,733,0
Kamis,17,10,311,167,4,1,483,3
Kamis,17,20,337,206,7,2,552,5
Kamis,17,30,305,160,2,2,469,1
Kamis,17,40,145,153,3,4,305,3
Kamis,17,50,40,138,5,2,185,1
Kamis,17,60,9,53,0,0,62,0
Kamis,18,10,7,32,0,0,39,1
Kamis,18,20,11,31,0,0,42,1
Kamis,18,30,18,43,0,0,61,3
Kamis,18,40,25,50,0,0,75,0
Kamis,18,50,15,73,0,0,88,4
Kamis,18,60,21,82,0,0,103,4
Kamis,19,10,18,64,0,0,82,3
Kamis,19,20,15,70,0,0,85,3
Kamis,19,30,17,64,1,0,82,2
Kamis,19,40,27,63,0,0,90,3
Kamis,19,50,25,89,1,0,115,5
Kamis,19,60,28,62,0,0,90,3
Jumat,6,10,167,31,3,0,201,0
Jumat,6,20,194,23,1,1,219,0
Jumat,6,30,189,35,3,1,228,0
Jumat,6,40,217,49,2,2,270,0
Jumat,6,50,156,57,4,0,217,0
Jumat,6,60,211,48,4,1,264,0
Jumat,7,10,247,92,4,2,345,0
Jumat,7,20,284,56,7,0,347,0
Jumat,7,30,213,53,3,4,273,0
Jumat,7,40,208,59,8,0,275,0
Jumat,7,50,264,49,6,3,322,0
Jumat,7,60,256,64,10,3,333,0
Jumat,8,10,279,65,6,2,352,0
Jumat,8,20,331,70,5,4,410,0
Jumat,8,30,328,75,4,4,411,0
Jumat,8,40,328,83,3,0,414,0
Jumat,8,50,267,88,3,2,360,0
Jumat,8,60,305,80,4,0,389,0
Jumat,15,10,333,150,6,0,489,0
Jumat,15,20,360,150,6,2,518,0
Jumat,15,30,361,176,4,4,545,0
Jumat,15,40,442,188,8,2,640,0
Jumat,15,50,402,170,2,3,577,0
Jumat,15,60,380,158,11,1,550,0
Jumat,16,10,415,151,11,1,578,0
Jumat,16,20,483,202,6,3,694,0
Jumat,16,30,385,147,4,3,539,0
Jumat,16,40,477,150,5,1,633,0
Jumat,16,50,437,164,8,2,611,0
Jumat,16,60,425,208,2,1,636,0
Jumat,17,10,324,176,9,2,511,0
Jumat,17,20,356,189,6,1,552,2
Jumat,17,30,234,104,3,1,342,0
Jumat,17,40,121,142,4,0,267,1
Jumat,17,50,33,87,1,0,121,1
Jumat,17,60,11,43,0,0,54,0
Jumat,18,10,10,57,0,0,67,1
Jumat,18,20,23,46,1,0,70,0
Jumat,18,30,14,51,0,0,65,0
Jumat,18,40,14,48,0,0,62,0
Jumat,18,50,21,55,0,0,76,1
Jumat,18,60,13,68,0,1,82,0
Jumat,19,10,21,74,1,0,96,3
Jumat,19,20,27,72,1,0,100,2
Jumat,19,30,19,67,0,0,86,4
Jumat,19,40,18,72,0,0,90,3
Jumat,19,50,24,94,0,0,118,1
Jumat,19,60,21,96,0,0,117,2
Sabtu,6,10,68,31,3,0,102,0
Sabtu,6,20,98,22,0,0,120,0
Sabtu,6,30,103,17,3,0,123,0
Sabtu,6,40,99,18,0,0,117,0
Sabtu,6,50,124,35,2,1,162,0
Sabtu,6,60,138,33,2,2,175,0
Sabtu,7,10,186,40,0,1,227,0
Sabtu,7,20,204,47,4,0,255,0
Sabtu,7,50,214,75,4,0,293,0
Sabtu,7,60,283,88,5,0,376,0
Sabtu,8,10,268,88,4,1,361,0
Sabtu,8,20,389,86,6,1,482,0
Sabtu,8,30,405,110,11,0,526,1
Sabtu,8,40,435,147,8,1,591,1
Sabtu,8,50,444,129,2,0,575,2
Sabtu,8,60,487,144,3,1,635,2
Sabtu,15,10,412,210,7,0,629,0
Sabtu,15,20,388,219,7,1,615,0
Sabtu,15,30,388,189,6,0,583,0
Sabtu,15,40,420,179,4,1,604,0
Sabtu,15,50,526,205,13,0,744,0
Sabtu,15,60,424,205,5,2,636,0
Sabtu,16,10,401,210,8,2,621,0
Sabtu,16,20,426,207,9,0,642,0
Sabtu,16,30,469,236,4,1,710,0
Sabtu,16,40,404,186,8,1,599,0
Sabtu,16,50,387,216,3,0,606,0
Sabtu,16,60,463,230,8,2,703,0
Sabtu,17,10,342,189,6,0,537,0
Sabtu,17,20,316,233,8,0,557,5
Sabtu,17,30,274,194,5,0,473,1
Sabtu,17,40,139,177,1,2,319,2
Sabtu,17,50,25,147,0,0,172,2
Sabtu,17,60,13,57,0,0,70,2
Sabtu,18,10,14,61,1,0,76,0
Sabtu,18,20,21,61,0,0,82,1
Sabtu,18,30,15,56,0,0,71,1
Sabtu,18,40,20,48,1,0,69,1
Sabtu,18,50,20,88,1,0,109,5
Sabtu,18,60,31,69,0,0,100,4
Sabtu,19,10,11,70,1,0,82,3
Sabtu,19,20,15,66,1,0,82,4
Sabtu,19,30,20,66,0,0,86,3
Sabtu,19,40,20,67,0,0,87,2
Sabtu,19,50,22,69,1,0,92,3
Sabtu,19,60,30,91,2,0,123,4
Minggu,6,10,203,54,3,3,263,0
Minggu,6,20,312,52,2,2,368,0
Minggu,6,30,354,46,2,1,403,0
Minggu,6,40,307,71,5,2,385,0
Minggu,6,50,294,68,6,1,369,0
Minggu,6,60,305,60,2,4,371,0
Minggu,7,10,300,58,3,0,361,0
Minggu,7,20,351,91,3,0,445,0
Minggu,7,30,366,73,8,0,447,0
Minggu,7,40,263,77,3,1,344,0
Minggu,7,50,263,81,3,2,349,0
Minggu,7,60,268,90,3,1,362,0
Minggu,8,10,285,103,5,1,394,0
Minggu,8,20,415,75,5,2,497,0
Minggu,8,30,406,124,3,2,535,0
Minggu,8,40,469,104,8,0,581,0
Minggu,8,50,435,96,4,1,536,0
Minggu,8,60,455,120,7,0,582,0
Minggu,15,10,336,166,8,1,511,1
Minggu,15,20,426,158,7,1,592,2
Minggu,15,30,413,201,5,1,620,3
Minggu,15,40,299,172,7,2,480,2
Minggu,15,50,195,173,2,3,373,3
Minggu,15,60,54,191,2,0,247,4
Minggu,16,10,104,181,4,1,290,3
Minggu,16,20,318,163,2,1,484,2
Minggu,16,30,380,156,1,0,537,3
Minggu,16,40,370,187,3,2,562,4
Minggu,16,50,129,193,5,3,330,4
Minggu,16,60,20,132,1,0,153,3
Minggu,17,10,33,179,4,1,217,4
Minggu,17,20,75,155,4,1,235,0
Minggu,17,30,44,156,5,0,205,2
Minggu,17,40,18,133,1,0,152,2
Minggu,17,50,11,113,0,0,124,3
Minggu,17,60,12,60,0,0,72,1
Minggu,18,10,11,71,0,0,82,1
Minggu,18,20,5,72,1,0,78,2
Minggu,18,30,11,68,1,0,80,1
Minggu,18,40,14,76,1,0,91,0
Minggu,18,50,6,81,1,0,88,0
Minggu,18,60,3,74,1,0,78,3
Minggu,19,10,12,80,0,0,92,1
Minggu,19,20,3,62,0,0,65,3
Minggu,19,30,7,81,2,0,90,1
Minggu,19,40,11,80,0,0,91,1
Minggu,19,50,8,91,0,0,99,2
Senin,6,10,172,56,4,0,232,0
Senin,6,20,243,46,1,0,290,0
Senin,6,30,271,59,6,0,336,0
Senin,6,40,240,54,4,2,300,0
Senin,6,50,196,52,3,2,253,0
Senin,6,60,234,62,5,1,302,0
Senin,7,10,212,48,5,0,265,0
Senin,7,20,201,66,2,0,269,0
Senin,7,30,221,74,5,0,300,0
Senin,7,40,158,89,4,1,252,0
Senin,7,50,211,103,4,1,319,0
Senin,7,60,236,88,3,0,327,0
Senin,8,10,299,92,8,0,399,0
Senin,8,20,349,97,3,0,449,0
Senin,8,30,381,128,8,1,518,0
Senin,8,40,414,132,10,0,556,1
Senin,8,50,431,116,6,1,554,2
Senin,8,60,446,161,6,2,615,2
Senin,15,10,332,196,12,0,540,0
Senin,15,20,417,209,9,1,636,0
Senin,15,30,435,208,5,1,649,0
Senin,15,40,428,172,6,1,607,0
Senin,15,50,488,203,5,1,697,0
Senin,15,60,468,226,3,1,698,0
Senin,16,10,478,166,9,2,655,0
Senin,16,20,534,205,7,1,747,0
Senin,16,30,570,197,8,0,775,0
Senin,16,40,515,218,2,3,738,0
Senin,16,50,408,188,3,1,600,0
Senin,16,60,514,173,6,0,693,0
Senin,17,10,338,236,12,2,588,1
Senin,17,20,357,208,4,0,569,1
Senin,17,30,290,195,1,2,488,1
Senin,17,40,164,165,4,0,333,1
Senin,17,50,38,149,1,0,188,0
Senin,17,60,13,77,0,0,90,0
Senin,18,10,16,59,0,0,75,1
Senin,18,20,30,79,1,0,110,0
Senin,18,30,13,55,0,0,68,0
Senin,18,40,28,87,1,0,116,0
Senin,18,50,14,53,0,0,67,0
Senin,18,60,17,81,0,0,98,1
Senin,19,10,17,82,1,0,100,1
Senin,19,20,13,77,0,0,90,2
Senin,19,30,18,78,0,0,96,0
Senin,19,40,17,70,1,0,88,0
Senin,19,50,8,63,0,0,71,0
Senin,19,60,22,105,1,0,128,0
Selasa,6,10,212,50,4,0,266,0
Selasa,6,20,248,51,5,2,306,0
Selasa,6,30,248,65,3,2,318,0
Selasa,6,40,285,87,6,4,382,0
Selasa,6,50,275,52,4,0,331,0
Selasa,6,60,306,61,5,0,372,0
Selasa,7,10,422,75,8,0,505,0
Selasa,7,20,422,84,2,0,508,0
Selasa,7,30,415,87,8,1,511,0
Selasa,7,40,394,89,6,1,490,0
Selasa,7,50,401,85,10,1,497,0
Selasa,7,60,404,86,2,2,494,0
Selasa,8,10,390,107,6,1,504,0
Selasa,8,20,414,110,5,0,529,0
Selasa,8,30,403,132,7,1,543,0
Selasa,8,40,422,120,4,2,548,0
Selasa,8,50,415,118,9,1,543,0
Selasa,8,60,444,133,10,2,589,0
Selasa,15,10,380,183,14,2,579,0
Selasa,15,20,473,201,8,4,686,0
Selasa,15,30,541,229,5,3,778,0
Selasa,15,40,530,205,6,3,744,0
Selasa,15,50,447,221,8,3,679,0
Selasa,15,60,536,268,2,5,811,0
Selasa,16,10,482,207,7,3,699,0
Selasa,16,20,448,199,2,4,653,0
Selasa,16,30,564,226,4,1,795,0
Selasa,16,40,535,259,9,5,808,0
Selasa,16,50,498,234,3,3,738,0
Selasa,16,60,509,211,8,0,728,0
